Localización,Precio m2 mar 2024,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo
València,2400,0.017,0.05,0.131,2400,0.0
Algirós,2444,0.022000000000000002,0.076,0.158,2444,0.0
Benicalap,1960,0.035,0.083,0.228,2224,-0.11900000000000001
Benimaclet,2362,0.003,0.044000000000000004,0.20199999999999999,2362,0.0
Camins al Grau,2458,0.006999999999999999,0.028999999999999998,0.183,2458,0.0
Campanar,3020,0.026000000000000002,0.10400000000000001,0.27699999999999997,3020,0.0
Ciutat Vella,3273,0.012,0.005,0.057999999999999996,3273,0.0
El Pla del Real,3234,0.037000000000000005,0.08,0.16699999999999998,3234,0.0
Extramurs,2783,0.005,0.042,0.11199999999999999,2783,0.0
Jesús,1821,0.022000000000000002,0.022000000000000002,0.19399999999999998,1821,0.0
L'Eixample,3615,-0.004,0.028999999999999998,0.11599999999999999,3629,-0.004
L'Olivereta,1726,0.026000000000000002,0.046,0.127,1961,-0.12
La Saïdia,2029,0.015,0.015,0.134,2178,-0.068
Patraix,2001,0.043,0.08,0.201,2001,0.0
Poblats Marítims,2231,0.023,0.028999999999999998,0.129,2231,0.0
Quatre Carreres,2231,0.006999999999999999,0.07400000000000001,0.109,2233,-0.001
Rascanya,1678,0.003,0.08199999999999999,0.183,1684,-0.004
