"Año";"Periodo";"De segunda mano";"Nuevas"
"2007";"Febrero";"92.736";"63.264"
"2008";"Febrero";"61.700";"54.908"
"2009";"Febrero";"32.878";"39.175"
"2010";"Febrero";"38.567";"40.350"
"2011";"Febrero";"45.921";"44.060"
"2012";"Febrero";"29.895";"33.722"
"2013";"Febrero";"36.964";"38.491"
"2014";"Febrero";"30.565";"25.648"
"2015";"Febrero";"46.653";"16.758"
"2016";"Febrero";"53.681";"14.062"
"2017";"Febrero";"60.953";"13.156"
"2018";"Febrero";"73.445";"15.787"
"2019";"Febrero";"74.193";"18.073"
"2020";"Febrero";"74.556";"17.563"
"2021";"Febrero";"64.937";"18.527"
"2022";"Febrero";"85.646";"20.995"
"2023";"Febrero";"85.299";"20.112"
"2024";"Febrero";"84.665";"22.477"
;;;
;;;
"Métrica":"De segunda mano"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Viviendas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"Nuevas"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Viviendas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/compraventas-viviendas-nuevas-segunda-mano-va-ano/5f1aaa4e-1243-45cd-bb68-c5ba09c07729"
"Titulo":"Compraventas de viviendas nuevas y de segunda mano en lo que va de año"
"Subtitulo":""
