"Año";"Periodo";"euros /m2"
"2014";"Marzo";"1.298,75"
"2014";"Abril";"1.236,61"
"2014";"Mayo";"1.257,8"
"2014";"Junio";"1.263,14"
"2014";"Julio";"1.277,4"
"2014";"Agosto";"1.166,11"
"2014";"Septiembre";"1.222,02"
"2014";"Octubre";"1.229,83"
"2014";"Noviembre";"1.232,74"
"2014";"Diciembre";"1.273,91"
"2015";"Enero";"1.277,72"
"2015";"Febrero";"1.225,57"
"2015";"Marzo";"1.236,56"
"2015";"Abril";"1.307,98"
"2015";"Mayo";"1.280,53"
"2015";"Junio";"1.315,2"
"2015";"Julio";"1.320,46"
"2015";"Agosto";"1.163,08"
"2015";"Septiembre";"1.281,1"
"2015";"Octubre";"1.255,89"
"2015";"Noviembre";"1.281,94"
"2015";"Diciembre";"1.312,71"
"2016";"Enero";"1.331,29"
"2016";"Febrero";"1.273,03"
"2016";"Marzo";"1.294,32"
"2016";"Abril";"1.304,66"
"2016";"Mayo";"1.313,93"
"2016";"Junio";"1.339,38"
"2016";"Julio";"1.340,07"
"2016";"Agosto";"1.156,16"
"2016";"Septiembre";"1.300,03"
"2016";"Octubre";"1.341,26"
"2016";"Noviembre";"1.299,7"
"2016";"Diciembre";"1.357,73"
"2017";"Enero";"1.368,55"
"2017";"Febrero";"1.349,41"
"2017";"Marzo";"1.346,95"
"2017";"Abril";"1.411,97"
"2017";"Mayo";"1.363,87"
"2017";"Junio";"1.395,38"
"2017";"Julio";"1.440,58"
"2017";"Agosto";"1.225,26"
"2017";"Septiembre";"1.393,53"
"2017";"Octubre";"1.371,99"
"2017";"Noviembre";"1.356,08"
"2017";"Diciembre";"1.380,63"
"2018";"Enero";"1.388,17"
"2018";"Febrero";"1.363,29"
"2018";"Marzo";"1.364,94"
"2018";"Abril";"1.431,43"
"2018";"Mayo";"1.386,2"
"2018";"Junio";"1.421,42"
"2018";"Julio";"1.468"
"2018";"Agosto";"1.284,31"
"2018";"Septiembre";"1.458,41"
"2018";"Octubre";"1.396,47"
"2018";"Noviembre";"1.411,77"
"2018";"Diciembre";"1.458,47"
"2019";"Enero";"1.452,43"
"2019";"Febrero";"1.386,39"
"2019";"Marzo";"1.427,06"
"2019";"Abril";"1.417,99"
"2019";"Mayo";"1.408,33"
"2019";"Junio";"1.449,7"
"2019";"Julio";"1.519,39"
"2019";"Agosto";"1.370,26"
"2019";"Septiembre";"1.458,43"
"2019";"Octubre";"1.427,42"
"2019";"Noviembre";"1.444,52"
"2019";"Diciembre";"1.478,01"
"2020";"Enero";"1.492,84"
"2020";"Febrero";"1.439,09"
"2020";"Marzo";"1.451,93"
"2020";"Abril";"1.513,19"
"2020";"Mayo";"1.482,59"
"2020";"Junio";"1.439,29"
"2020";"Julio";"1.443,68"
"2020";"Agosto";"1.294"
"2020";"Septiembre";"1.374"
"2020";"Octubre";"1.377"
"2020";"Noviembre";"1.398"
"2020";"Diciembre";"1.463"
"2021";"Enero";"1.497"
"2021";"Febrero";"1.428"
"2021";"Marzo";"1.449"
"2021";"Abril";"1.479"
"2021";"Mayo";"1.490"
"2021";"Junio";"1.533,11"
"2021";"Julio";"1.579,11"
"2021";"Agosto";"1.430,9"
"2021";"Septiembre";"1.539,56"
"2021";"Octubre";"1.527,16"
"2021";"Noviembre";"1.551"
"2021";"Diciembre";"1.582"
"2022";"Enero";"1.651"
"2022";"Febrero";"1.578"
"2022";"Marzo";"1.622"
"2022";"Abril";"1.607"
"2022";"Mayo";"1.604"
"2022";"Junio";"1.644"
"2022";"Julio";"1.695"
"2022";"Agosto";"1.498"
"2022";"Septiembre";"1.660"
"2022";"Octubre";"1.605"
"2022";"Noviembre";"1.570"
"2022";"Diciembre";"1.594"
"2023";"Enero";"1.627"
"2023";"Febrero";"1.582"
"2023";"Marzo";"1.580"
"2023";"Abril";"1.622"
"2023";"Mayo";"1.616"
"2023";"Junio";"1.622"
"2023";"Julio";"1.617"
"2023";"Agosto";"1.526"
"2023";"Septiembre";"1.643"
"2023";"Octubre";"1.644"
"2023";"Noviembre";"1.623"
"2023";"Diciembre";"1.687"
"2024";"Enero";"1.706"
"2024";"Febrero";"1.649"
;;
;;
"Métrica":"euros /m2"
"Fuente":"Consejo General del Notariado"
"Clasificación":""
"Unidad":"Euros / metro cuadrado"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-precio-vivienda-ultimos-10-anos/9885ae47-3986-4e37-ba24-69071cc1fbf7/espana/106"
"Titulo":"Evolución del precio de la vivienda los últimos 10 años"
"Subtitulo":""
