CP,Número de declaraciones,Renta bruta,Rentas del trabajo,Peso del trabajo,Rentas del capital,Peso del capital,Rentas de actividades económicas,Peso de actividades económicas,Ganancias patrimoniales netas,Peso Ganancias patrimoniales netas,Rentas exentas,Peso Rentas exentas,Renta bruta / pers,Cod. Postal,distrito
46001-El Pilar,6025,226823521,151231279,66.67,25899047,11.42,25172402,11.1,17836880,7.86,6661032,2.94,37647.057427385895,46001,El Pilar
46002-El Centro,2399,135443556,72028486,53.18,23566004,17.4,21543210,15.91,14918509,11.01,3379748,2.5,56458.33930804502,46002,El Centro
46003-Carmen,6365,284255570,173238948,60.94,39990475,14.07,40501595,14.25,22340630,7.86,8179271,2.88,44659.16260801257,46003,Carmen
46004-Pla de Remei,5573,559068550,212717303,38.05,96789103,17.31,67244459,12.03,174837221,31.27,7448173,1.33,100317.34254441055,46004,Pla de Remei
46005-Gran Vía,11099,530543858,334228652,63.0,66456616,12.53,72956938,13.75,41963241,7.91,14903524,2.81,47801.05036489774,46005,Gran Vía
46006-Ruzafa,26229,771284624,605063792,78.45,46545414,6.03,57239335,7.42,32086690,4.16,30317550,3.93,29405.796027298027,46006,Ruzafa
46007-Patraix,24157,802363297,606717446,75.62,62005788,7.73,62723637,7.82,41742463,5.2,29134995,3.63,33214.52568613653,46007,Patraix
46008-Extramurs,16752,602410846,452386822,75.1,50282457,8.35,47801824,7.94,30670632,5.09,21265516,3.53,35960.532831900666,46008,Extramurs
46009-Marchalenes,24056,664181534,545130781,82.08,32587211,4.91,35207699,5.3,22486972,3.39,28762808,4.33,27609.807698703025,46009,Marchalenes
46010-Mestalla,15021,715365229,468740100,65.52,84281347,11.78,79706890,11.14,59594680,8.33,23027348,3.22,47624.341189002065,46010,Mestalla
46011-Poblet Maritims,17031,453631948,370879106,81.76,21950654,4.84,22879931,5.04,16283514,3.59,21638607,4.77,26635.66132346897,46011,Poblet Maritims
46012-La Albufera,3765,122079826,91744966,75.15,9883401,8.1,8967536,7.35,6689274,5.48,4794649,3.93,32424.92058432935,46012,La Albufera
46013-Quatre,10761,329544426,259959202,78.88,19331857,5.87,22401588,6.8,14053605,4.26,13798174,4.19,30623.95929746306,46013,Quatre
46014-Barrio de La Luz,20995,555889141,463197076,83.33,22737441,4.09,22980926,4.13,20891117,3.76,26078243,4.69,26477.21557513694,46014,Barrio de La Luz
46015-Campanar,24268,849937159,677714616,79.74,52619634,6.19,55062832,6.48,32720894,3.85,31769655,3.74,35022.95858744025,46015,Campanar
46016-Tavernes Blanques,1566,43960237,34480534,78.44,2780092,6.32,2863766,6.51,2052879,4.67,1782891,4.06,28071.671136653895,46016,Tavernes Blanques
46017-La Cruz Cubierto,23552,575557553,490441299,85.21,19055863,3.31,24769176,4.3,14834255,2.58,26445565,4.59,24437.735776154892,46017,La Cruz Cubierto
46018-La Luz,26233,696654279,571623132,82.05,34844891,5.0,36165180,5.19,22172037,3.18,31848921,4.57,26556.409064918233,46018,La Luz
46019-Torrefiel,19593,497263552,412590295,82.97,19550829,3.93,26203557,5.27,14842468,2.98,24075423,4.84,25379.65354973715,46019,Torrefiel
46020-Benimaclet,18167,592403091,471901383,79.66,38419995,6.49,37553849,6.34,23312392,3.94,21207131,3.58,32608.746133098477,46020,Benimaclet
46021-Algirós,19186,655964152,514176868,78.38,46553929,7.1,42316228,6.45,28852347,4.4,24062329,3.67,34189.729594495984,46021,Algirós
46022-Ayora,27751,805927215,673371240,83.55,36740691,4.56,38310462,4.75,23777521,2.95,33724901,4.18,29041.375626103563,46022,Ayora
46023-La Crus Del Grao,17545,708359033,516088157,72.86,53704465,7.58,61852539,8.73,53886448,7.61,22806720,3.22,40373.84058136221,46023,La Crus Del Grao
46024-Nazaret,5789,147456758,122431824,83.03,4647412,3.15,8026049,5.44,5229682,3.55,7121792,4.83,25471.887718086025,46024,Nazaret
46025-Benicalap,18579,472691701,399682696,84.55,16255855,3.44,23240824,4.92,10882683,2.3,22569462,4.77,25442.25744119705,46025,Benicalap
46026-Malilla,11712,308768047,259092066,83.91,13213190,4.28,15472832,5.01,7859754,2.55,13129605,4.25,26363.391991120217,46026,Malilla
46035-Sant Pau-Benimanet,6377,143837978,121532679,84.49,5753998,4.0,7269647,5.05,2929291,2.04,6352362,4.42,22555.74376666144,46035,Benimanet
46112-Massarrochos-Santa Bárbara,1402,67699733,49490092,73.1,4468944,6.6,8245808,12.18,3456427,5.11,2038462,3.01,48287.969329529245,46112,Santa Bárbara
Resto,18390,543975991,367755574,67.61,26751325,4.92,30772710,5.66,97259120,17.88,21432789,3.94,29579.988635127786,Resto,Resto
